Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.044769,1432.7007904052734,892.66,0.05036
1,0.97,0.040486,1400.8934814929962,1046.14,0.04598
1,0.95,0.039812,1369.7871024608612,1396.64,0.04514
30,0.5,0.040285,52.081613302230835,10740.71,0.04496
