Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
4,0.98,0.011482,18.39876127243042,1912.68,0.01253
4,0.99,0.014468,18.465386152267456,1924.41,0.01567
5,0.05,0.008796,8.82658338546753,2121.01,0.00953
5,0.1,0.00918,9.08661675453186,2009.38,0.00958
5,0.15,0.008922,9.671620607376099,1899.51,0.00947
5,0.2,0.009053,9.90316891670227,1796.13,0.00946
5,0.25,0.009187,10.248780488967896,1684.13,0.00965
5,0.3,0.008955,10.704282760620117,1572.63,0.00942
5,0.35,0.008898,11.100890398025513,1462.88,0.00953
5,0.4,0.008938,11.468198299407959,1356.13,0.00952
5,0.45,0.009008,11.755619049072266,1244.13,0.0096
5,0.5,0.008727,12.17063045501709,1306.17,0.00929
5,0.55,0.009018,12.603387117385864,1369.06,0.00961
5,0.6,0.008853,12.98938798904419,1432.45,0.00944
5,0.65,0.008715,13.432915687561035,1494.84,0.00935
5,0.7,0.008779,13.961422204971313,1557.73,0.0095
5,0.75,0.008889,14.38930368423462,1622.38,0.0096
5,0.8,0.008922,14.717171907424927,1684.52,0.00967
5,0.85,0.009112,15.183620691299438,1746.97,0.00987
5,0.9,0.009232,15.676503419876099,1809.67,0.01006
5,0.95,0.009601,16.04551672935486,1872.75,0.01051
5,0.96,0.009895,16.14358615875244,1884.77,0.01086
5,0.97,0.010501,16.20039176940918,1897.34,0.0115
5,0.98,0.011363,16.36823272705078,1910.8,0.01242
5,0.99,0.014468,16.541703462600708,1922.5,0.0156
10,0.05,0.008838,8.648059368133545,2121.01,0.00947
10,0.1,0.008719,8.904024124145508,2009.38,0.00946
10,0.15,0.009178,8.931735754013062,1899.51,0.00971
10,0.2,0.009037,9.135663986206055,1796.13,0.00964
10,0.25,0.009179,9.358933687210083,1684.13,0.00967
10,0.3,0.008921,9.404172897338867,1572.63,0.00951
10,0.35,0.009195,9.622304916381836,1462.88,0.00973
10,0.4,0.008969,9.985043287277222,1356.13,0.00948
10,0.45,0.008894,10.116487264633179,1244.13,0.00949
10,0.5,0.00887,10.176172494888306,1304.36,0.00939
10,0.55,0.008931,10.445180416107178,1367.05,0.00951
10,0.6,0.00896,10.591469526290894,1430.25,0.00959
10,0.65,0.00883,10.728753805160522,1492.44,0.00945
10,0.7,0.008794,11.001153707504272,1555.14,0.00941
10,0.75,0.008892,11.171061038970947,1619.58,0.00954
10,0.8,0.009009,11.290989637374878,1681.53,0.00973
10,0.85,0.009013,11.445537567138672,1743.79,0.00975
10,0.9,0.009261,11.796685695648193,1806.29,0.01005
10,0.95,0.009688,11.917742729187012,1869.18,0.01058
10,0.96,0.010247,12.041475534439087,1881.15,0.01117
10,0.97,0.010139,12.063862562179565,1893.69,0.01111
10,0.98,0.011327,12.161705017089844,1907.11,0.01236
10,0.99,0.014325,12.308152675628662,1918.77,0.01542
15,0.05,0.008697,8.621800661087036,2121.01,0.00941
15,0.1,0.009023,8.64983582496643,2009.38,0.00952
15,0.15,0.00903,8.716461420059204,1899.51,0.00945
15,0.2,0.008958,8.747599601745605,1796.13,0.00956
15,0.25,0.008862,8.895384073257446,1684.13,0.00942
15,0.3,0.008842,9.164376258850098,1572.63,0.00935
15,0.35,0.008925,9.160731554031372,1462.88,0.00952
15,0.4,0.008846,9.231042623519897,1356.13,0.0094
15,0.45,0.008805,9.363032817840576,1244.13,0.00943
15,0.5,0.008812,9.450299501419067,1305.14,0.00939
15,0.55,0.008993,9.537394285202026,1367.9,0.00955
15,0.6,0.008934,9.752419471740723,1431.16,0.00952
15,0.65,0.008884,9.748787641525269,1493.42,0.00953
15,0.7,0.00911,9.828742027282715,1556.18,0.00974
15,0.75,0.008953,9.949283361434937,1620.7,0.00962
15,0.8,0.009103,10.14830756187439,1682.71,0.0098
15,0.85,0.009182,10.247368335723877,1745.03,0.00991
15,0.9,0.0091,10.356782913208008,1807.6,0.0099
15,0.95,0.009789,10.514142751693726,1870.55,0.01071
15,0.96,0.00999,10.489607095718384,1882.54,0.01095
15,0.97,0.010566,10.569897413253784,1895.09,0.01155
15,0.98,0.011237,10.7515389919281,1908.52,0.01228
15,0.99,0.014506,10.736427307128906,1920.2,0.01565
20,0.05,0.008931,8.475393772125244,2121.01,0.00944
20,0.1,0.008861,8.552298069000244,2009.38,0.00956
20,0.15,0.009083,8.577958583831787,1899.51,0.00948
20,0.2,0.009008,8.792145013809204,1796.13,0.00944
20,0.25,0.008899,8.812538862228394,1684.13,0.00946
20,0.3,0.008763,8.764835119247437,1572.63,0.00929
20,0.35,0.008917,8.802572250366211,1462.88,0.00943
20,0.4,0.008937,9.032427787780762,1356.13,0.00949
20,0.45,0.008849,8.952125310897827,1244.13,0.00937
