Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
1,0.99,0.01087,105.83580231666565,84.75,0.01587
1,0.97,0.008875,104.08144521713257,171.38,0.01396
1,0.95,0.008586,102.41876649856567,259.63,0.01367
10,0.99,0.010804,41.575016021728516,3786.01,0.01582
30,0.5,0.008159,34.1775267124176,2563.36,0.01311
1,0.97,0.008821,102.89791798591614,171.38,0.01391
