Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
4,0.98,0.009733,18.357701539993286,1912.68,0.01043
4,0.99,0.013067,18.485350370407104,1924.41,0.01382
5,0.05,0.007676,8.771265506744385,2121.01,0.00806
5,0.1,0.00782,9.249515056610107,2009.38,0.00812
5,0.15,0.007785,9.524794816970825,1899.51,0.00816
5,0.2,0.007476,9.81904411315918,1796.13,0.00777
5,0.25,0.007512,10.267481327056885,1684.13,0.00785
5,0.3,0.007677,10.677103757858276,1572.63,0.00799
5,0.35,0.007529,11.087724447250366,1462.88,0.00783
5,0.4,0.007903,11.427391052246094,1356.13,0.00822
5,0.45,0.007708,11.723724126815796,1244.13,0.00802
5,0.5,0.007719,12.26356053352356,1306.17,0.00803
5,0.55,0.007613,12.4628324508667,1369.06,0.00796
5,0.6,0.007503,12.985887050628662,1432.45,0.00787
5,0.65,0.007418,13.411813974380493,1494.84,0.00776
5,0.7,0.00753,13.908245325088501,1557.73,0.00792
5,0.75,0.007519,14.335142374038696,1622.38,0.00795
5,0.8,0.007773,14.825195789337158,1684.52,0.0082
5,0.85,0.007604,15.094378232955933,1746.97,0.00808
5,0.9,0.007903,15.510533809661865,1809.67,0.00843
5,0.95,0.008281,15.851155519485474,1872.75,0.00891
5,0.96,0.008367,15.98685073852539,1884.77,0.00903
5,0.97,0.008879,16.21611714363098,1897.34,0.00954
5,0.98,0.009891,16.378249645233154,1910.8,0.01058
5,0.99,0.012581,16.538453817367554,1922.5,0.01335
10,0.05,0.007669,8.614502668380737,2121.01,0.00799
10,0.1,0.007476,8.703412771224976,2009.38,0.00782
10,0.15,0.007871,8.896328449249268,1899.51,0.00805
10,0.2,0.007677,9.079161167144775,1796.13,0.00796
10,0.25,0.007548,9.282369613647461,1684.13,0.00789
10,0.3,0.007803,9.555437326431274,1572.63,0.00804
10,0.35,0.007727,9.539548635482788,1462.88,0.00803
10,0.4,0.007706,9.813411951065063,1356.13,0.008
