Batch Size,Sequential Prop,Total Time,Total Peak Memory,Total Loss
10,0.05,5.120943069458008,2825.05,0.04105
10,0.1,5.452927350997925,2680.47,0.04132
10,0.15,5.791160345077515,2530.69,0.04112
10,0.2,6.168766021728516,2384.18,0.04125
10,0.25,6.447598934173584,2239.87,0.04124
10,0.3,6.895949840545654,2091.18,0.04115
10,0.35,7.327401399612427,1944.67,0.04122
10,0.4,7.695624828338623,1802.36,0.04123
10,0.45,8.059692621231079,1653.4,0.04117
10,0.5,8.503314018249512,1617.69,0.04117
10,0.55,8.842864751815796,1696.15,0.04093
10,0.6,9.268929958343506,1774.08,0.04131
10,0.65,9.63599705696106,1853.37,0.04138
10,0.7,10.145893096923828,1931.04,0.04098
10,0.75,10.554773330688477,2009.19,0.04104
10,0.8,10.987762928009033,2089.31,0.04145
10,0.85,11.54029107093811,2166.74,0.04148
10,0.9,11.897934675216675,2244.77,0.0412
10,0.95,12.414056539535522,2323.37,0.04203
10,0.96,12.675065994262695,2338.9,0.04234
10,0.97,12.555432319641113,2354.44,0.04261
10,0.98,12.699342012405396,2370.06,0.04359
10,0.99,13.007560729980469,2385.36,0.04591
15,0.05,5.035670518875122,2825.05,0.04139
15,0.1,5.184678792953491,2680.47,0.04096
15,0.15,5.337833642959595,2530.69,0.04119
15,0.2,5.576229095458984,2384.18,0.04119
15,0.25,5.840939521789551,2239.87,0.04113
15,0.3,6.128857612609863,2091.18,0.04127
15,0.35,6.361209869384766,1944.67,0.0417
15,0.4,6.5776755809783936,1802.36,0.04072
15,0.45,6.793674945831299,1653.4,0.04093
15,0.5,7.060335397720337,1618.64,0.04111
15,0.55,7.319371461868286,1697.18,0.04116
15,0.6,7.576993465423584,1775.2,0.04115
15,0.65,7.953912019729614,1854.57,0.04108
15,0.7,8.272687673568726,1932.32,0.04095
15,0.75,8.490464925765991,2010.55,0.0413
15,0.8,8.88383150100708,2090.75,0.04124
15,0.85,9.016643524169922,2168.26,0.04112
15,0.9,9.361612558364868,2246.37,0.04145
15,0.95,9.598257303237915,2325.05,0.04186
15,0.96,9.684341430664062,2340.6,0.04231
15,0.97,9.765317678451538,2356.15,0.04289
15,0.98,9.885628700256348,2371.79,0.04399
15,0.99,10.135536670684814,2387.11,0.04624
20,0.05,4.89424467086792,2825.05,0.04113
20,0.1,4.914044380187988,2680.47,0.04091
20,0.15,5.141449689865112,2530.69,0.04107
20,0.2,5.316391229629517,2384.18,0.04128
20,0.25,5.474591970443726,2239.87,0.04104
20,0.3,5.669612169265747,2091.18,0.04131
20,0.35,5.881146430969238,1944.67,0.04122
20,0.4,6.0282793045043945,1802.36,0.04124
20,0.45,6.304144859313965,1653.4,0.04116
20,0.5,6.428820610046387,1620.4,0.04112
20,0.55,6.574868202209473,1699.11,0.04107
20,0.6,6.810598134994507,1777.29,0.04129
20,0.65,6.9906768798828125,1856.82,0.04121
20,0.7,7.183869123458862,1934.73,0.04113
20,0.75,7.366409540176392,2013.12,0.04118
20,0.8,7.596340894699097,2093.49,0.04097
20,0.85,7.920761346817017,2171.16,0.04113
20,0.9,8.002980470657349,2249.43,0.0414
20,0.95,8.279043912887573,2328.28,0.04205
20,0.96,8.257487535476685,2343.86,0.04241
20,0.97,8.375915765762329,2359.45,0.04273
20,0.98,8.530858039855957,2375.12,0.04379
20,0.99,8.659569501876831,2390.47,0.04613
25,0.05,4.843633651733398,2825.05,0.04092
25,0.1,4.893437147140503,2680.47,0.041
25,0.15,4.99782657623291,2530.69,0.04094
25,0.2,5.133697509765625,2384.18,0.04131
25,0.25,5.294741630554199,2239.87,0.04136
25,0.3,5.440822124481201,2091.18,0.04113
25,0.35,5.5670318603515625,1944.67,0.04118
25,0.4,5.675926208496094,1802.36,0.04102
25,0.45,5.8824663162231445,1653.4,0.04095
25,0.5,5.992150545120239,1620.54,0.04097
25,0.55,6.106466293334961,1699.25,0.04131
25,0.6,6.308797597885132,1777.42,0.04123
25,0.65,6.471303939819336,1856.96,0.04131
25,0.7,6.627014636993408,1934.87,0.04099
25,0.75,6.793341159820557,2013.26,0.04115
25,0.8,6.97908616065979,2093.62,0.04125
25,0.85,7.0158538818359375,2171.3,0.04121
25,0.9,7.251697778701782,2249.57,0.0412
25,0.95,7.476111650466919,2328.42,0.04177
25,0.96,7.429218292236328,2344.0,0.04218
25,0.97,7.58153223991394,2359.58,0.04299
25,0.98,7.5318474769592285,2375.26,0.04355
25,0.99,7.699076175689697,2390.61,0.04619
30,0.05,4.826514959335327,2825.05,0.04106
30,0.1,4.881580591201782,2680.47,0.04136
30,0.15,4.91170859336853,2530.69,0.04122
30,0.2,5.0159220695495605,2384.18,0.04128
30,0.25,5.097115755081177,2239.87,0.04136
30,0.3,5.2787370681762695,2091.18,0.04146
30,0.35,5.353078365325928,1944.67,0.04095
30,0.4,5.444165945053101,1802.36,0.04121
30,0.45,5.519710063934326,1653.4,0.04141
30,0.5,5.636636972427368,1622.3,0.04133
30,0.55,5.735474109649658,1701.17,0.04102
30,0.6,5.863312721252441,1779.51,0.04101
30,0.65,5.958880186080933,1859.21,0.04132
30,0.7,6.102278470993042,1937.28,0.04112
30,0.75,6.237265586853027,2015.84,0.04128
30,0.8,6.345942258834839,2096.36,0.04116
30,0.85,6.484046220779419,2174.2,0.04093
30,0.9,6.6490373611450195,2252.64,0.04137
30,0.95,6.751044750213623,2331.65,0.04218
30,0.96,6.785839557647705,2347.26,0.04178
30,0.97,6.823696136474609,2362.88,0.04301
30,0.98,6.884953737258911,2378.58,0.04353
30,0.99,7.129484176635742,2393.96,0.04599
35,0.05,4.7785890102386475,2825.05,0.04107
35,0.1,4.9064719676971436,2680.47,0.0412
35,0.15,4.937636613845825,2530.69,0.04125
35,0.2,5.043827772140503,2384.18,0.04101
35,0.25,5.368240118026733,2239.87,0.04118
35,0.3,5.454383611679077,2091.18,0.04121
35,0.35,5.601668834686279,1944.67,0.04093
35,0.4,5.705577373504639,1802.36,0.04133
35,0.45,5.8395469188690186,1653.4,0.04115
35,0.5,5.977327108383179,1622.9,0.04104
35,0.55,6.0941925048828125,1701.82,0.04125
35,0.6,6.180689811706543,1780.21,0.04123
35,0.65,6.342151403427124,1859.95,0.04089
35,0.7,6.489665269851685,1938.07,0.04097
35,0.75,6.704367399215698,2016.67,0.04113
35,0.8,6.950593709945679,2097.25,0.04116
35,0.85,7.043902635574341,2175.13,0.04114
35,0.9,7.323077917098999,2253.61,0.04132
35,0.95,7.461694002151489,2332.67,0.04206
35,0.96,7.455270528793335,2348.29,0.04219
35,0.97,7.499886512756348,2363.91,0.04263
35,0.98,7.6361589431762695,2379.63,0.0436
35,0.99,7.879987716674805,2395.02,0.04583
40,0.05,4.756841659545898,2825.05,0.04113
40,0.1,4.889967679977417,2680.47,0.04103
40,0.15,4.946079730987549,2530.69,0.04123
